annee;trim;catau2010r;metrodom;typmen7;age3;age5;coured;enfred;nfrred;sexe;acteu;acteu6;actif;actop;aidfam;ancchom;ancinact;contact;creaccp;dem;dispoc;gardeb;halor;inscont;mra;mrb;mrbbis;mrc;mrd;mrdbis;mre;mrec;mrf;mrg;mrgbis;mrh;mri;mrj;mrk;mrl;mrm;mrn;mro;mrpassa;mrpassb;mrpassc;mrs;nondic;nrec;nreca;nrecb;occref;officc;offre;pastra;pastrb;pastrf;percrev;rabs;raisnrec;raisnsou;raispas;sou;soua;soub;souc;sousempl;stche;temp;traref;typcont;typcontb;chpub;cse;cser;csp;cstot;cstotr;fonctc;nafg004un;nafg010un;nafg017un;nafg021un;nafg038un;nafg088un;pub3fp;qprc;stc;rdet;stat2;statoep;statut;statutr;titc;cstmn;cstplc;dispplc;duhab;gardea;hhc6;horaic;raison;raistp;stmn;stplc;tppred;txtppred;ancentr4;sitant;aac;csa;nafant;nafantg004n;dip11;cstotprm;identm;extrian;empnbh;hrec;hhce;hplusa;jourtr;nbtote;age;genre;diplome;nationalite;gsp;sociopro;menage;position;choix;horaires;heures_plus;public_prive;secteur
2018;2;1;1;4;15;15;2;2;1;1;1;1;1;1;NA;NA;NA;2;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;63;6;63;63;6;NA;EU;FZ;FZ;F;FZ;41;4;2;3;1;2;21;21;2;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;2;2;1;NA;NA;NA;1;NA;NA;NA;42;54;828;10725351151;35;NA;NA;NA;NA;NA;15-29a;Hommes;Bac techno/pro;Français de naissance;Ouvriers;Ouvriers qual artisanat;Couple avec enfant(s);Ouvriers qual, techniciens d'atelier;Contrat choisi;Pas d'horaire habituel;Souhaite pas plus d'heures;Employeur privé;Construction
2018;3;1;1;4;15;15;2;2;1;1;1;1;1;1;NA;NA;NA;2;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;63;6;63;63;6;NA;EU;FZ;FZ;F;FZ;41;4;2;3;1;2;21;21;2;NA;NA;NA;NA;6;NA;4;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;42;54;829;13495514719;35;NA;35;NA;5;NA;15-29a;Hommes;Bac techno/pro;Français de naissance;Ouvriers;Ouvriers qual artisanat;Couple avec enfant(s);Ouvriers qual, techniciens d'atelier;Contrat choisi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Construction
2018;4;1;1;4;15;15;2;2;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;67;6;67;67;6;NA;EV;GI;HZ;H;HZ;49;4;9;3;2;2;21;21;2;NA;NA;NA;NA;6;NA;4;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;71;63;848;1275768261;35;NA;35;NA;5;NA;15-29a;Hommes;Sans diplôme;Français de naissance;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Autres, nr;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Transports et entreposage
2018;3;2;1;3;50;50;1;2;1;1;1;1;1;1;NA;NA;NA;2;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;62;6;62;62;6;NA;ET;BE;C3;C;CK;28;4;2;3;2;2;21;21;2;NA;NA;1;1;6;NA;4;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;50;62;890;10117397084;35;NA;35;39;5;NA;+50a;Hommes;CAP/BEP;Français de naissance;Ouvriers;Ouvriers qual industrie;Couple sans enfant;Ouvriers qual, techniciens d'atelier;Contrat subi;Temps complet 35-39h;Souhaite plus d'heures;Employeur privé;Fab élec, info, machines
2018;4;2;1;3;50;50;1;2;1;1;1;1;1;1;NA;NA;NA;2;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;62;6;62;62;6;NA;ET;BE;C5;C;CH;25;4;2;3;2;2;21;21;2;NA;NA;NA;NA;2;NA;2;1;NA;1;2;2;2;3;NA;NA;NA;NA;NA;NA;50;62;891;99774837836;24;NA;24;NA;3;NA;+50a;Hommes;CAP/BEP;Français de naissance;Ouvriers;Ouvriers qual industrie;Couple sans enfant;Ouvriers qual, techniciens d'atelier;Contrat subi;Temps partiel;Souhaite pas plus d'heures;Employeur privé;Fab autres prod indus
2018;2;1;1;4;30;30;1;1;1;1;1;1;1;1;NA;NA;NA;2;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;65;6;65;65;6;NA;00;00;00;0;00;00;4;9;3;2;2;21;21;2;NA;NA;NA;NA;6;NA;4;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;50;65;935;17018141615;40;NA;35;NA;5;NA;30-39a;Hommes;CAP/BEP;Français de naissance;Ouvriers;Ouvriers qual manut, magasin, transport;Couple avec enfant(s);Autres, nr;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Autres secteurs
2018;3;1;1;4;30;40;1;1;3;2;1;1;1;1;NA;NA;NA;NA;1;1;NA;NA;2;NA;1;1;NA;1;1;2;1;1;2;2;2;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;2;NA;1;2;NA;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;NA;NA;1;NA;1;1;2;1;52;5;52;52;5;1;EV;OQ;OQ;P;PZ;85;4;4;3;2;2;21;21;2;NA;NA;NA;NA;9;NA;NA;NA;NA;NA;2;2;1;NA;1;2;1;NA;NA;NA;71;62;1014;30285449474;20;NA;NA;NA;NA;NA;40-49a;Femmes;Sans diplôme;Etrangers;Employé-e-s;Employés du public;Couple avec enfant(s);Employés;Contrat subi;Pas d'horaire habituel;Souhaite pas plus d'heures;Employeur privé;Admin publiques
2018;1;1;1;4;15;15;2;2;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;47;4;47;47;4;1;ET;BE;C5;C;CH;25;4;3;3;2;2;21;21;2;NA;NA;NA;NA;7;NA;5;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;31;47;1015;80929842495;40;NA;40;NA;5;NA;15-29a;Hommes;L2 ou équiv;Français de naissance;Professions intermédiaires;Technicien-ne-s;Couple avec enfant(s);Techniciens;Contrat subi;Temps complet +40h;Souhaite pas plus d'heures;Employeur privé;Fab autres prod indus
2018;2;1;1;4;15;15;2;2;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;47;4;47;47;4;1;ET;BE;C5;C;CH;25;4;3;3;2;2;21;21;2;NA;NA;NA;NA;7;NA;5;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;31;47;1016;78730811487;40;NA;40;NA;5;NA;15-29a;Hommes;L2 ou équiv;Français de naissance;Professions intermédiaires;Technicien-ne-s;Couple avec enfant(s);Techniciens;Contrat subi;Temps complet +40h;Souhaite pas plus d'heures;Employeur privé;Fab autres prod indus
2018;3;1;1;4;15;15;2;2;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;47;4;47;47;4;1;ET;BE;C5;C;CH;25;4;3;3;2;2;21;21;2;NA;NA;NA;NA;7;NA;5;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;31;47;1017;89400371175;42;NA;40;NA;5;NA;15-29a;Hommes;L2 ou équiv;Français de naissance;Professions intermédiaires;Technicien-ne-s;Couple avec enfant(s);Techniciens;Contrat subi;Temps complet +40h;Souhaite pas plus d'heures;Employeur privé;Fab autres prod indus
2018;4;1;1;4;15;15;2;2;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;47;4;47;47;4;1;ET;BE;C5;C;CH;25;4;3;3;2;2;21;21;2;NA;NA;NA;NA;7;NA;5;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;31;47;1018;77608190597;32;NA;40;NA;5;NA;15-29a;Hommes;L2 ou équiv;Français de naissance;Professions intermédiaires;Technicien-ne-s;Couple avec enfant(s);Techniciens;Contrat subi;Temps complet +40h;Souhaite pas plus d'heures;Employeur privé;Fab autres prod indus
2018;4;1;1;1;15;15;2;2;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;63;6;63;63;6;1;EU;FZ;FZ;F;FZ;43;4;2;3;1;2;21;21;2;NA;NA;NA;NA;6;NA;4;1;NA;NA;2;2;1;NA;2;NA;NA;NA;NA;NA;50;63;1041;16515089976;39;NA;39;NA;5;NA;15-29a;Hommes;CAP/BEP;Français de naissance;Ouvriers;Ouvriers qual artisanat;Personne seule;Ouvriers qual, techniciens d'atelier;Contrat choisi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Construction
2018;4;1;1;4;30;30;1;1;2;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;62;6;62;62;6;NA;EU;FZ;FZ;F;FZ;43;4;2;3;1;2;21;21;2;NA;NA;NA;NA;6;NA;4;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;71;62;1147;22663756202;21;NA;35;NA;5;NA;30-39a;Hommes;Sans diplôme;Français naturalisés;Ouvriers;Ouvriers qual industrie;Couple avec enfant(s);Ouvriers qual, techniciens d'atelier;Contrat choisi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Construction
2018;1;4;1;4;30;40;1;1;1;2;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;2;NA;2;52;5;52;52;5;4;EV;GI;HZ;H;HZ;53;4;4;3;2;2;21;21;2;NA;NA;NA;NA;7;NA;5;1;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;50;77;1163;13043524757;42;NA;42;NA;6;NA;40-49a;Femmes;CAP/BEP;Français de naissance;Employé-e-s;Employés du public;Couple avec enfant(s);Employés;Contrat subi;Temps complet +40h;Souhaite pas plus d'heures;Employeur public;Transports et entreposage
2018;4;3;1;4;30;40;1;1;1;2;1;1;1;1;NA;NA;NA;2;NA;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;67;6;67;67;6;NA;EV;GI;GZ;G;GZ;46;4;1;3;1;2;21;21;2;NA;NA;NA;NA;7;NA;5;2;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;42;52;1257;80139168287;40;NA;40;NA;5;NA;40-49a;Femmes;Bac techno/pro;Français de naissance;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat choisi;Temps complet +40h;Souhaite pas plus d'heures;Employeur privé;Commerce
2018;1;1;1;4;15;15;2;2;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;62;6;62;62;6;1;ET;BE;C3;C;CI;26;4;1;3;2;2;21;21;2;NA;NA;NA;NA;6;NA;4;2;NA;NA;2;2;1;NA;NA;NA;NA;NA;NA;NA;42;54;1312;11625210967;35;NA;35;NA;5;NA;15-29a;Hommes;Bac techno/pro;Français de naissance;Ouvriers;Ouvriers qual industrie;Couple avec enfant(s);Manoeuvres ou OS;Contrat subi;Temps complet 35-39h;Souhaite pas plus d'heures;Employeur privé;Fab élec, info, machines
2018;4;2;1;4;15;15;2;2;3;1;1;1;1;1;NA;NA;NA;NA;3;1;NA;NA;2;NA;2;1;NA;2;2;2;2;1;2;2;1;NA;NA;NA;NA;NA;2;2;1;NA;NA;NA;2;NA;1;1;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;NA;1;1;NA;1;NA;NA;1;67;6;67;67;6;NA;00;00;00;0;00;00;4;9;3;2;2;21;21;2;NA;NA;3;1;9;NA;NA;NA;NA;1;NA;1;2;1;NA;NA;2;NA;NA;NA;50;78;1363;12208706292;20;NA;NA;35;NA;NA;15-29a;Hommes;CAP/BEP;Etrangers;Ouvriers;Ouvriers non qual industrie;Couple avec enfant(s);Autres, nr;Contrat subi;Pas d'horaire habituel;Souhaite plus d'heures;Employeur privé;Autres secteurs
2018;4;1;1;5;30;30;2;2;1;1;1;1;1;1;NA;NA;NA;NA;NA;0;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;1;NA;NA;1;65;6;65;65;6;NA;ET;BE;C4;C;CL;29;4;9;3;2;2;21;21;2;NA;NA;1;1;6;NA;4;2;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;60;56;1467;13859322531;35;NA;35;40;5;NA;30-39a;Hommes;Brevet collèges ou CEP;Français de naissance;Ouvriers;Ouvriers qual manut, magasin, transport;Autres ménages;Autres, nr;Contrat subi;Temps complet 35-39h;Souhaite plus d'heures;Employeur privé;Fab matériel transp
2018;2;1;1;2;15;15;2;1;1;2;1;1;1;1;NA;NA;NA;2;1;0;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;NA;NA;NA;NA;NA;8;NA;NA;1;1;2;NA;2;NA;NA;1;NA;NA;2;52;5;52;52;5;10;EV;OQ;OQ;P;PZ;85;2;4;3;2;2;21;21;2;NA;NA;4;1;2;NA;2;1;NA;1;NA;1;2;3;2;NA;NA;NA;NA;NA;50;52;1820;95556334671;23;NA;23;35;4;NA;15-29a;Femmes;CAP/BEP;Français de naissance;Employé-e-s;Employés du public;Famille monoparentale;Employés;Contrat subi;Temps partiel;Souhaite plus d'heures;Employeur public;Admin publiques
